Numero,Nome,Posizione,Percorso,Scuola di provenienza,Settore,Costruttori,Materiali,Accessori,Stato di conservazione,Descrizione,Campi da rivedere
1,Apparecchio per le forze,vetrina4,vetrina4/strumento_1.html,"Liceo Statale ""P.E. Imbriani"", Avellino",Meccanica,"Alemanno e Castaldi, Torino",Legno e Ottone,Pesetti,Legno rovinato,"Questo strumento ha il compito di mettere direttamente in pratica le equazioni cardinali della statistica. Da un punto di vista tecnico, un´insieme di forze che condividono tutte la stessa direzione prende il nome di sistema di forze parallele. Lo strumento presenta una base lignea sulla quale sono fissate due aste di ottone. Su queste aste sono posizionate due carrucole con lo scopo di permettere la traslazione verticale e la rotazione. Per l´equilibrio in assenza di ulteriori forze esterne (pesi aggiuntivi appunto), all´altra estremità della fune di rimando di ciascuna carrucola è fissato un ulteriore pesetto con la funzione di contrappeso. http://museo.liceofoscarini.it -->",
2,Piano inclinato,vetrina2,vetrina2/strumento_2.html,"Liceo Statale ""P.E. Imbriani"", Avellino",Meccanica,"Benedetto Romano, Lecce","Legno di noce, ottone e ferro",Carrellino,Buono,"È un dispositivo per studiare le condizioni di equilibrio di un corpo su di un piano inclinato con forza motrice parallela al piano stesso. Alla sommità del piano c´ è una carrucola, nella cui gola scorre una fune, parallela al piano, collegata ad un peso ed al carrello che scivola sul piano. L´ampiezza e l´altezza del piano si valutano rispettivamente, sull´ arco e sul righello metallico. Operando per tentativi si trova il peso che tiene in equilibrio il carrello.",
3,Pendolo,esposto,esposto/strumento_3.html,"Liceo Classico ""P. Colletta"", Avellino",Meccanica,"Officine Galileo, Firenze","Ferro, ghisa, ottone, legno",Nessuno,Buono,"Il pendolo semplice o matematico è un sistema fisico costituito da un filo inestensibile e di massa trascurabile e da un piccolo corpo fissato alla sua estremità e oscillante attorno ad un asse orizzontale, detto asse di sospensione, che non passa per il suo baricentro. Il periodo del pendolo è l´intervallo di tempo impiegato a compiere un´oscillazione completa (avanti e indietro). Galileo Galilei fu il primo ad accorgersi che la durata di ogni oscillazione di un pendolo semplice è indipendente dall´ampiezza dell´oscillazione, purché l´ampiezza angolare sia piccola, ossia in pratica finché l´angolo massimo che il filo forma con la verticale non supera qualche grado, cioè sia <10°",
4,Barometro,esposto,esposto/strumento_4.html,"Liceo Statale ""P.E. Imbriani"", Avellino",Meteorologia,"Paravia, Torino","Legno di noce, mercurio, vetro e ferro",Nessuno,Da ripulire,"Comune barometro a sifone con mercurio e canna di vetro su tavoletta di legno già in uso nella metà del XVII secolo. È fornito di un quadrante a corsoio mobile per l´indicazione del livello di mercurio. È un tipo di barometro più perfezionato della canna torricelliana; la pressione della camera barometrica è uguale a quella atmosferica. Verrà sostituita nel laboratorio di fisica, agli inizi dell´ottocento col barometro di Fortin.",
5,Barometro,esposto,esposto/strumento_5.html,"Liceo Classico ""P. Colletta"", Avellino",Meteorologia,Sconosciuto,"Legno, mercurio, vetro",Nessuno,Da ripulire,"Il barometro a mercurio deriva direttamente dal dispositivo ideato da Torricelli (1608-1647) nel 1643 per dimostrare l´esistenza della pressione atmosferica. Nella forma più semplice è costituito da un tubo in vetro della lunghezza di un 1 m circa, chiuso a un´estremità, che, dopo essere stato riempito di mercurio, viene immerso per la parte libera in una vaschetta contenente altro mercurio: nel tubo la colonna di mercurio s´abbassa fino a che il suo peso non fa equilibrio con la pressione atmosferica agente sulla superficie libera della vaschetta. L´altezza h della colonna di mercurio dà quindi misura della pressione dell´atmosfera; a livello del mare a 0 °C una colonna di 2 cm 2 di sezione si innalza per 760 mm, pari a una pressione di 1.003 g/cm 2 .",
6,Igrometro a capello,vetrina4,vetrina4/strumento_6.html,"Liceo Classico ""P. Colletta"", Avellino",Meccanica,Secheresse Flumulite,Ottone,Nessuno,Buono,"È uno strumento suscettibile di una sufficiente precisione; esso è fondato sull´aumento di lunghezza provato dai capelli sotto l´azione dell´umidità. L´apparecchio è formato da un telaio in ottone, alla parete superiore del quale si trova una pinzetta, destinata a tenere un´estremità del capello. L´altra estremità di questo è fissata, e parzialmente avvolta, alla gola di una piccola carrucola assai leggera e mobile. Un filo di seta avvolto in senso opposto al capello e fissato ad una seconda gola della carrucola porta alla sua estremità il piccolo peso di due o tre decigrammi, destinato a tenere il capello costantemente teso. All´asse della puleggia è fissato, per il suo centro di gravità, un indice che può scorrere su di un quadrante graduato. Dietro queste disposizioni si capisce che, se a causa di un aumento di umidità, il capello viene ad allungarsi, l´indice si muove verso i valori più bassi della scala graduata; la diminuzione dell´umidità nell´ambiente darà luogo ad un movimento inverso. I capelli devono subire prima di essere adoperati, una preventiva preparazione, la quale ha o scopo di liberarli dalla materia grassa di cui sono abitualmente coperti. A tale scopo si può, come usava l´inventore dello strumento, tenerli immersi per qualche tempo in una dissoluzione di bicarbonato di soda cristallizzato, lavarli in seguito con molta acqua e farli asciugare. Sembra però preferibile, onde non esporsi ad un´ alterazione permanente nella struttura dei capelli, di lasciarli per ventiquattro ore nell´etere solforico.",
7,Cornetto acustico,vetrina6,vetrina6/strumento_7.html,"Liceo Statale ""P.E. Imbriani"", Avellino",Acustica,Sconosciuto,Alluminio,Nessuno,Buono,"L´intensità di un suono dipende dall´ampiezza delle onde elastiche che stimolano l´orecchio. In generale si può dire che quando l´ampiezza aumenta cresce l´intensità del suono provocato. Perciò quando si desidera rinforzare l´intensità di un suono si applicano dispositivi che aumentano l´ampiezza delle onde acustiche che pervengono all´orecchio. Si può evitare la diminuzione dell´ampiezza delle onde elastiche modificandone il percorso, in modo che la propagazione non avvenga per onde sferiche. Ciò si ottiene, ,per esempio, convogliando le onde dentro dei tubi. Quando le onde si propagano entro tubi di piccolo diametro, l´intensità del suono come ha fatto notare Biot non diminuisce notevolmente anche per distanze rilevanti, poiché l´energia di vibrazione viene convogliata in un´unica direzione. Su questo principio sono basati: i tubi acustici, il megafono, che serve a trasmettere ordini a distanza; il cornetto acustico, adoperato per parlare con persone un po´ sorde, che introducono la parte stretta nell´orecchio per concentrare e intensificare le onde sonore captate dell´aperture a grande superficie",
8,Apparecchio per riflessione e rifrazione,vetrina5,vetrina5/strumento_8.html,"Liceo Classico ""P. Colletta"", Avellino",Ottica,"Officine Galileo, Firenze","Vetro, ferro e ottone","Candela, mancano prisma e specchio",Buono a parte la ruggine,"L´apparecchio(essenzialmente un goniometro) è costituito da un largo cerchio graduato sostenuto da una colonna verticale che poggia su un treppiede di ghisa. Un´alidade sostiene le fessure longitudinali, attraverso le quali passa la luce collimata emessa dalla sorgente luminosa monocromatica ; l´altra sostiene l´oculare(mancante), mediante il quale si osserva la luce che viene riflessa. I valori degli angoli si ottengono leggendo le posizioni degli indici delle alidade sul cerchio graduato. Sul piccolo sostegno centrale si può porre lo specchietto metallico per le esperienze della riflessione oppure il recipiente di vetro, di forma semicilindrica,per la misura dell´indice di rifrazione delle sostanze liquide. L´apparecchio, quando si ha a disposizione un prisma, può servire anche a misure dell´angolo di deviazione minimo.",
9,Bottiglia di Leyda,vetrina11,vetrina11/strumento_9.html,"Liceo Statale ""P. E. Imbriani"", Avellino",Elettricità,Sconosciuto,Vetro e ottone,Scaricatore elettrico,Buono,"La bottiglia di Leyda costituisce la forma più antica di condensatore elettrico.Si carica mettendo l´armatura esterna in comunicazione con il suolo e avvicinando l´interna alla sorgente dell´elettricità, che di solito è una macchina elettrostatica. La scarica può farsi in due modi: istantaneamente, riunendo le due armature con l´arco scaricatore rigido. Si tocca leggermente l´armatura esterna con una sferetta dello scaricatore e si accosta l´altra sferetta all´armatura, ottenendo così una forte scintilla; lentamente, isolando il condensatore, col posarlo su una lastra di vetro, e toccando alternativamente con la nocca del dito le due armature.",
10,Batteria di bottiglie di Leyda,vetrina11,vetrina11/strumento_10.html,"Liceo Classico P.Colletta, Avellino",Elettrologia,Sconosciuto,Non specificato,Sostegno di legno,Buono,"La bottiglia di Leida è un precursore del moderno condensatore. È formata da un dielettrico (tipicamente vetro) rivestito da due strati di tipo metallico formanti le armature. Il terminale sferico è deputato al trasferimento della carica da una macchina elettrostatica all´armatura interna del capacitore. La particolare forma a sfera ha la funzione di limitare le perdite di carica dovute all´effetto corona, responsabile della ionizzazione dell´aria circostante un corpo carico. Il collegamento del terminale esterno all´armatura interna veniva effettuato mediante una catena L´ammontare della carica che l´oggetto è in grado di immagazzinare è proporzionale all´area delle armature, allo spessore e al tipo di materiale interposto tra esse. Non di rado è possibile raggiungere scariche ad alto potenziale, anche dell´ordine dei 30.000 Volts. Il rivestimento in ceralacca che copre il terzo superiore della bottiglia ha lo scopo di evitare un cortocircuito accidentale tra le due armature, imprevisto possibile a causa della condensazione dell´umidità nell´aria. A seconda della necessità, più bottiglie di Leida potevano essere disposte in serie o in parallelo, su una base comune rivestita di materiale conduttore. La bottiglia di Leyda costituisce la forma più antica di condensatore elettrico. Si carica mettendo l´armatura esterna in comunicazione con il suolo e avvicinando l´interna alla sorgente dell´elettricità, che di solito è una macchina elettrostatica. La scarica può farsi in due modi: istantaneamente, riunendo le due armature con l´arco scaricatore rigido. Si tocca leggermente l´armatura esterna con una sferetta dello scaricatore e si accosta l´altra sferetta all´armatura, ottenendo così una forte scintilla; lentamente, isolando il condensatore, col posarlo su una lastra di vetro, e toccando alternativamente con la nocca del dito le due armature.",
